source,publishedAt,raw_text,clean_text,url,locations,crime_types,crime_type,latitude,longitude
DW (English),2025-04-19T19:06:00Z,"US deportations to El Salvador test legal limits As court disputes heat up over the Trump administration's deportations of alleged criminal migrants to El Salvador, legal experts explain to DW what's at stake for both detainees and the rule of law. Ever since Donald Trump took office in January, migrants en… Ever since Donald Trump took office in January, migrants entering the United States have increasingly feared the threat of deportation. Now this threat has taken on a new dimension: The possibility o… [+6199 chars]",us deportations el salvador test legal limits court disputes heat trump administrations deportations alleged criminal migrants el salvador legal experts explain dw whats stake detainees rule law ever since donald trump took office january migrants en… ever since donald trump took office january migrants entering united states increasingly feared threat deportation threat taken new dimension possibility o… chars,https://www.dw.com/en/us-deportations-to-el-salvador-test-legal-limits/a-72289913,el salvador,,unknown,13.8000382,-88.9140683
ABC News (AU),2025-04-19T19:04:56Z,"Cost of living most important issue this election, Vote Compass data shows Vote Compass data shows cost of living is the most important issue for respondents ahead of the federal election. Vote Compass data shows cost of living is the most important issue for voters ahead of the election, with one quarter of respondents saying it is their biggest concern.
The cost of groceries and ren… [+5921 chars]",cost living important issue election vote compass data shows vote compass data shows cost living important issue respondents ahead federal election vote compass data shows cost living important issue voters ahead election one quarter respondents saying biggest concern cost groceries ren… chars,https://www.abc.net.au/news/2025-04-20/federal-election-2025-most-important-issue-vote-compass/105178788,,,unknown,46.3144754,11.0480288
Breitbart News,2025-04-19T18:56:08Z,"NBC's 'Law & Order' Portrays Migrants as Innocent, Cops as Rapists and Murderers NBC's Law & Order distorted illegal alien crime in America, portraying illegals as innocent and police as rapists and murderers.
The post NBC’s ‘Law & Order’ Portrays Migrants as Innocent, Cops as Rapists and Murderers appeared first on Breitbart. NBC’s Law &amp; Order flipped the script this week in an effort to distort illegal alien crime in America, portraying illegals as innocent and police as rapists and murderers.
Law &amp; Order often … [+2628 chars]",nbcs law order portrays migrants innocent cops rapists murderers nbcs law order distorted illegal alien crime america portraying illegals innocent police rapists murderers post nbc’s ‘law order’ portrays migrants innocent cops rapists murderers appeared first breitbart nbc’s law amp order flipped script week effort distort illegal alien crime america portraying illegals innocent police rapists murderers law amp order often … chars,https://www.breitbart.com/entertainment/2025/04/19/nbcs-law-order-portrays-migrants-as-innocent-cops-as-rapists-and-murderers/,america,,unknown,39.7837304,-100.445882
New York Post,2025-04-19T18:51:21Z,"Dangerous jetty caused surfer’s tragic death at federal park in Queens: residents An award-winning 35-year-old filmmaker drowned surfing after his board apparently got tangled in wooden jetties along notoriously treacherous waters at Jacob Riis Park in Queens, according to police sources and residents. An award-winning filmmaker drowned at Jacob Riis Park in Queens last week after his surfboard apparently got tangled in a decrepit wooden jetty, a deadly obstruction residents have begged the federal… [+4457 chars]",dangerous jetty caused surfer’s tragic death federal park queens residents awardwinning yearold filmmaker drowned surfing board apparently got tangled wooden jetties along notoriously treacherous waters jacob riis park queens according police sources residents awardwinning filmmaker drowned jacob riis park queens last week surfboard apparently got tangled decrepit wooden jetty deadly obstruction residents begged federal… chars,https://nypost.com/2025/04/19/us-news/feds-failure-to-fix-rockaway-beach-safety-issues-blamed-for-surfing-death-of-filmmaker/,,,unknown,46.3144754,11.0480288
Wnd.com,2025-04-19T18:43:56Z,"Dems failed in 2024 because leaders were ‘lying about Biden’s mental acuity’ Analysis: Fibbing reinforced voters' suspicions the party won't admit uncomfortable truths on crime, immigration, inflation Donald Trumps victory in the 2024 president election outraged Democrats and delighted Republicans. Progressives have been tempted to console themselves with congenial fantasies or to sink into despai… [+9992 chars]",dems failed leaders ‘lying biden’s mental acuity’ analysis fibbing reinforced voters suspicions party wont admit uncomfortable truths crime immigration inflation donald trumps victory president election outraged democrats delighted republicans progressives tempted console congenial fantasies sink despai… chars,https://www.wnd.com/2025/04/dems-failed-in-2024-because-leaders-were-lying-about-bidens-mental-acuity/,,,unknown,46.3144754,11.0480288
Breitbart News,2025-04-19T18:43:46Z,"Brooklyn Tesla Vandalism Suspect Is a Licensed Mental Health Therapist As a licensed counselor and therapist helping to keep criminal offenders out of prison, a Brooklyn woman accused of trashing a parked Tesla may need some of her own professional expertise. According to the New York Post, 46-year old Natasha
The post Brooklyn … As a licensed counselor and therapist helping to keep criminal offenders out of prison, a Brooklyn woman accused of trashing a parked Tesla may need some of her own professional expertise.
According… [+2998 chars]",brooklyn tesla vandalism suspect licensed mental health therapist licensed counselor therapist helping keep criminal offenders prison brooklyn woman accused trashing parked tesla may need professional expertise according new york post year old natasha post brooklyn … licensed counselor therapist helping keep criminal offenders prison brooklyn woman accused trashing parked tesla may need professional expertise according… chars,https://www.breitbart.com/crime/2025/04/19/brooklyn-tesla-vandal-is-a-licensed-mental-health-therapist/,"brooklyn, new york",,unknown,40.6526006,-73.9497211
New York Post,2025-04-19T18:39:30Z,"Miracle at the mall: boy viciously thrown off balcony by deranged stranger now thriving Landen Hoffmann, 5, broke his skull, facial bones, both arms and a leg when he a deranged stranger randomly picked him up at the mall and tossed him over the side of the third-floor balcony. The Minnesota boy who was thrown from a Mall of America balcony six years ago and had to undergo emergency surgery and years of rehabilitation is now thriving, his mother said.
Landen Hoffmann was j… [+1907 chars]",miracle mall boy viciously thrown balcony deranged stranger thriving landen hoffmann broke skull facial bones arms leg deranged stranger randomly picked mall tossed side thirdfloor balcony minnesota boy thrown mall america balcony six years ago undergo emergency surgery years rehabilitation thriving mother said landen hoffmann j… chars,https://nypost.com/2025/04/19/us-news/landen-hoffmann-thriving-six-years-after-attack-says-mother-kari/,"america, minnesota",,unknown,45.9896587,-94.6113288
PBS,2025-04-19T18:35:48Z,A U.S. citizen was held for pickup by ICE despite proof he was born in the country Juan Carlos Lopez Gomez was arrested in Florida for allegedly being in the country illegally and held for pickup by immigration authorities even after his mother showed a judge her son’s birth certificate and the judge dismissed charges. MIAMI (AP) A U.S. citizen was arrested in Florida for allegedly being in the country illegally and held for pickup by immigration authorities even after his mother showed a judge her sons birth certi… [+2261 chars],us citizen held pickup ice despite proof born country juan carlos lopez gomez arrested florida allegedly country illegally held pickup immigration authorities even mother showed judge son’s birth certificate judge dismissed charges miami ap us citizen arrested florida allegedly country illegally held pickup immigration authorities even mother showed judge sons birth certi… chars,https://www.pbs.org/newshour/politics/a-u-s-citizen-was-held-for-pickup-by-ice-despite-proof-he-was-born-in-the-country,"miami, florida",,unknown,25.7741728,-80.19362
The Times of India,2025-04-19T18:34:24Z,"A Good Girl's Guide to Murder Season 2 begins filming: When will new episodes release? Season 1 of A Good Girl’s Guide to Murder, which debuted last year on BBC iPlayer, followed Pip as she launched a gripping investigation into the long-unsolved murder of a local schoolgirl. Filming has officially commenced for A Good Girls Guide to Murder Season 2, with the BBC confirming the return of its much-celebrated teen crime drama. The announcement was made via an engaging behin… [+3236 chars]",good girls guide murder season begins filming new episodes release season good girl’s guide murder debuted last year bbc iplayer followed pip launched gripping investigation longunsolved murder local schoolgirl filming officially commenced good girls guide murder season bbc confirming return muchcelebrated teen crime drama announcement made via engaging behin… chars,https://economictimes.indiatimes.com/news/international/us/a-good-girls-guide-to-murder-season-2-begins-filming-when-will-new-episodes-release/articleshow/120439854.cms,,murder,murder,46.3144754,11.0480288
ComicBook.com,2025-04-19T18:30:00Z,"7 Best Sci-fi Shows With Only One Season (And Where to Watch Them) Image courtesy of Netflix.
There’s a popular saying that quantity doesn’t equal quality, and that’s certainly true when it comes to some of the best sci-fi shows around. While dozens of incredible shows have run for multiple seasons, there are just as many ge… There’s a popular saying that quantity doesn’t equal quality, and that’s certainly true when it comes to some of the best sci-fi shows around. While dozens of incredible shows have run for multiple s… [+8944 chars]",best scifi shows one season watch image courtesy netflix there’s popular saying quantity doesn’t equal quality that’s certainly true comes best scifi shows around dozens incredible shows run multiple seasons many ge… there’s popular saying quantity doesn’t equal quality that’s certainly true comes best scifi shows around dozens incredible shows run multiple s… chars,http://comicbook.com/tv-shows/news/best-sci-fi-shows-only-one-season-where-to-watch-firefly-station-eleven/,netflix,,unknown,40.7637635,-73.9743027
NPR,2025-04-19T18:24:35Z,"She grew up believing she was a U.S. citizen. Then she applied for a passport Among those fearful of the Trump administration's immigration crackdown are adoptees who grew up thinking they were U.S. citizens — only to find out years later, in adulthood, they're not. For the better part of A's life, she never suspected anything was wrong.
She breezed through getting her driver's license. She applied to college and filed her taxes year after year without any hicc… [+10636 chars]",grew believing us citizen applied passport among fearful trump administrations immigration crackdown adoptees grew thinking us citizens — find years later adulthood theyre better part life never suspected anything wrong breezed getting drivers license applied college filed taxes year year without hicc… chars,https://www.npr.org/2025/04/19/g-s1-60166/trump-immigration-citizenship-deportation-adoptee-south-korea,,,unknown,46.3144754,11.0480288
Thegatewaypundit.com,2025-04-19T18:20:50Z,"Woke Brooklyn Therapist Accused of Leaving Brick Scrawled with ‘Nazi’ on Tesla in Jewish Neighborhood Facing Hate-Crime Charges A Brooklyn therapist faces hate-crime charges after allegedly vandalizing a Tesla with a swastika, citing deep-seated fears about the political climate. This incident raises critical questions about ideology and accountability.
The post Woke Brooklyn Therapis… Surveillance footage courtesy of DCPI
A Brooklyn woman, Natasha Cohen, has been accused of leaving a brick scrawled with a swastika and the word Nazi on a parked Tesla in a largely Jewish neighborho… [+1649 chars]",woke brooklyn therapist accused leaving brick scrawled ‘nazi’ tesla jewish neighborhood facing hatecrime charges brooklyn therapist faces hatecrime charges allegedly vandalizing tesla swastika citing deepseated fears political climate incident raises critical questions ideology accountability post woke brooklyn therapis… surveillance footage courtesy dcpi brooklyn woman natasha cohen accused leaving brick scrawled swastika word nazi parked tesla largely jewish neighborho… chars,https://www.thegatewaypundit.com/2025/04/woke-brooklyn-therapist-accused-leaving-brick-scrawled-nazi/,"brooklyn, dcpi",,unknown,,
Economictimes.com,2025-04-19T18:02:32Z,"Have you had your TV drama trauma fix? The author questions the current obsession with dark and disturbing content in television and film, particularly psychological crime dramas like 'Adolescence.' They ponder why audiences actively seek out narratives filled with gore, misery, and trauma, sugges… Everyone and their aunt are watching the psychological crime drama series Adolescence - and insisting that I must. The last time this happened, it was Game of Thrones. And we all know how that ended:… [+3809 chars]",tv drama trauma fix author questions current obsession dark disturbing content television film particularly psychological crime dramas like adolescence ponder audiences actively seek narratives filled gore misery trauma sugges… everyone aunt watching psychological crime drama series adolescence insisting must last time happened game thrones know ended… chars,https://m.economictimes.com/opinion/et-commentary/have-you-had-your-tv-drama-trauma-fix/articleshow/120439309.cms,,,unknown,46.3144754,11.0480288
Screen Rant,2025-04-19T18:00:23Z,"Tilda Swinton's 15 Best Movies, Ranked Tilda Swinton is known for chameleonic roles and immense talent, her best movies ranging from quiet independent films to huge blockbuster franchises. Tilda Swinton's movies prove that she is an actress whose versatility has no limits. Known for completely immersing herself in every role, Swinton has shown exceptional range in independent films, bi… [+16668 chars]",tilda swintons best movies ranked tilda swinton known chameleonic roles immense talent best movies ranging quiet independent films huge blockbuster franchises tilda swintons movies prove actress whose versatility limits known completely immersing every role swinton shown exceptional range independent films bi… chars,https://screenrant.com/tilda-swinton-movies-ranked/,,,unknown,46.3144754,11.0480288
DW (English),2025-04-19T17:53:00Z,"How Russia recruits soldiers in occupied Ukrainian territories Forcibly conscripting soldiers to fight for an occupying power is a war crime. DW spoke to human rights activists and Ukrainians about how residents are still being pressured into military service by their invaders. This spring marks the highest rate of milit… This spring marks the highest rate of military conscription that Russia has seen in 14 years. In late March, Russian President Vladimir Putin issued a decree ordering 160,000 men between the ages of … [+6677 chars]",russia recruits soldiers occupied ukrainian territories forcibly conscripting soldiers fight occupying power war crime dw spoke human rights activists ukrainians residents still pressured military service invaders spring marks highest rate milit… spring marks highest rate military conscription russia seen years late march russian president vladimir putin issued decree ordering men ages … chars,https://www.dw.com/en/how-russia-recruits-soldiers-in-occupied-ukrainian-territories/a-72289013,russia,,unknown,64.6863136,97.7453061
Freerepublic.com,2025-04-19T17:45:13Z,"Gen Z leading political shift toward Republicans: Poll More Gen Z voters are shifting Republican, challenging past trends Gen Z was key in re-electing President Donald Trump JD Vance leads GOP among young voters; Kamala Harris tops Dems A growing political divide is emerging among Americans under 30, as more youn… Skip to comments.
Gen Z leading political shift toward Republicans: PollThe Hill ^
 | 4/18/25
 | Taylor Delandro 
Posted on 04/19/2025 10:45:13 AM PDT by CFW
More Gen Z voters are shifting Repub… [+5015 chars]",gen z leading political shift toward republicans poll gen z voters shifting republican challenging past trends gen z key reelecting president donald trump jd vance leads gop among young voters kamala harris tops dems growing political divide emerging among americans youn… skip comments gen z leading political shift toward republicans pollthe hill taylor delandro posted pdt cfw gen z voters shifting repub… chars,https://freerepublic.com/focus/f-news/4312011/posts,,,unknown,46.3144754,11.0480288
Reason,2025-04-19T17:41:19Z,"Not Guilty but Punished Anyway Sentencing defendants based on acquitted conduct violates basic notions of justice. When Willonte Yates, Malik Perry, Dayonta McClinton, and three other young men arrived at a CVS on College Avenue in Indianapolis on a Tuesday night in October 2015, they were there to rob the pharma… [+19925 chars]",guilty punished anyway sentencing defendants based acquitted conduct violates basic notions justice willonte yates malik perry dayonta mcclinton three young men arrived cvs college avenue indianapolis tuesday night october rob pharma… chars,https://reason.com/2025/04/19/not-guilty-but-punished-anyway/,,,unknown,46.3144754,11.0480288
Securityaffairs.com,2025-04-19T17:37:08Z,"Attackers exploited SonicWall SMA appliances since January 2025 Threat actors are actively exploiting a remote code execution flaw in SonicWall Secure Mobile Access (SMA) appliances since January 2025. Arctic Wolf researchers warn that threat actors actively exploit a vulnerability, tracked as CVE-2021-20035 (CVSS score o… Attackers exploited SonicWall SMA appliances since January 2025
 | ASUS routers with AiCloud vulnerable to auth bypass exploit
 | U.S. CISA adds Apple products and Microsoft Windows NTLM flaws to i… [+156889 chars]",attackers exploited sonicwall sma appliances since january threat actors actively exploiting remote code execution flaw sonicwall secure mobile access sma appliances since january arctic wolf researchers warn threat actors actively exploit vulnerability tracked cve cvss score o… attackers exploited sonicwall sma appliances since january asus routers aicloud vulnerable auth bypass exploit us cisa adds apple products microsoft windows ntlm flaws i… chars,https://securityaffairs.com/176706/security/attackers-exploited-sonicwall-sma-appliances-since-january-2025.html,us,,unknown,39.7837304,-100.445882
Bleeding Cool News,2025-04-19T17:37:07Z,"Doctor Who: Our Deep Dive Into The Disney Era-Defining S02E02 ""Lux"" Let's dive into the second episode of Doctor Who, ""Lux"". This is going to be all spoilers with the assumption that you've watched the episode. This is the craziest and most fun episode of the series' Disney era and arguably the best. Russell T. Davies is swin… Posted in: BBC, Doctor Who, TV | Tagged: doctor who
Here's our deep dive into the Disney+/BBC Era-defining Doctor Who S02E02: ""Lux,"" with all the crazy meta themes that fold in on themselves.
Let's… [+10363 chars]",doctor deep dive disney eradefining se lux lets dive second episode doctor lux going spoilers assumption youve watched episode craziest fun episode series disney era arguably best russell davies swin… posted bbc doctor tv tagged doctor heres deep dive disneybbc eradefining doctor se lux crazy meta themes fold lets… chars,https://bleedingcool.com/tv/doctor-who-our-deep-dive-into-the-disney-era-defining-s02e02-lux/,,,unknown,46.3144754,11.0480288
Survivalblog.com,2025-04-19T17:35:47Z,"How The Woke Postmodern “Faith” Glorifies Evil, by Brandon Smith It’s not as if it was ever a secret: The very core of the woke movement is fundamentally rooted in evil. The general definition of “evil” being a conscious act of deception and destruction, the deliberate victimization of others for the sake of personal power… Its not as if it was ever a secret: The very core of the woke movement is fundamentally rooted in evil. The general definition of evil being a conscious act of deception and destruction, the delibera… [+10113 chars]",woke postmodern “faith” glorifies evil brandon smith it’s ever secret core woke movement fundamentally rooted evil general definition “evil” conscious act deception destruction deliberate victimization others sake personal power… ever secret core woke movement fundamentally rooted evil general definition evil conscious act deception destruction delibera… chars,https://survivalblog.com/2025/04/20/how-the-woke-postmodern-faith-glorifies-evil-by-brandon-smith/,,,unknown,46.3144754,11.0480288
Econlib.org,2025-04-19T17:34:38Z,"Businesses are suffering Almost any economic change produces winners and losers.  Ride share companies hurt the taxi industry.  In the future, Waymo may undercut the ride share companies.  Imports of inexpensive sneakers from China hurt the US shoe making industry.  And now we discov… Almost any economic change produces winners and losers.  Ride share companies hurt the taxi industry.  In the future, Waymo may undercut the ride share companies.  Imports of inexpensive sneakers fro… [+3417 chars]",businesses suffering almost economic change produces winners losers ride share companies hurt taxi industry future waymo may undercut ride share companies imports inexpensive sneakers china hurt us shoe making industry discov… almost economic change produces winners losers ride share companies hurt taxi industry future waymo may undercut ride share companies imports inexpensive sneakers fro… chars,https://www.econlib.org/businesses-are-suffering/,china,,unknown,35.0000663,104.999955
Freerepublic.com,2025-04-19T17:29:34Z,"AOC fundraising soars as the New York rep and Bernie Sanders barnstorm U.S. against Trump Rep. Alexandria Ocasio-Cortez raised $9.6 million in the first quarter of 2025, the best quarter ever for the New York progressive Democrat. The big haul comes as Ocasio-Cortez and Sen. Bernie Sanders hold rallies across the United States to criticize Preside… Skip to comments.
AOC fundraising soars as the New York rep and Bernie Sanders barnstorm U.S. against TrumpChicago 5 NBC ^
 | 4/16/25
 | Erin Doherty
Posted on 04/19/2025 10:29:34 AM PDT by Dalla… [+1915 chars]",aoc fundraising soars new york rep bernie sanders barnstorm us trump rep alexandria ocasiocortez raised million first quarter best quarter ever new york progressive democrat big haul comes ocasiocortez sen bernie sanders hold rallies across united states criticize preside… skip comments aoc fundraising soars new york rep bernie sanders barnstorm us trumpchicago nbc erin doherty posted pdt dalla… chars,https://freerepublic.com/focus/f-news/4312008/posts,new york,,unknown,40.7127281,-74.0060152
Fox News,2025-04-19T17:21:13Z,"American pastor kidnapped in South Africa thanks God after being rescued American pastor Josh Sullivan says his ""personal relationship with Jesus"" helped him survive terrifying kidnapping ordeal that he calls ""the worst experience."" Join Fox News for access to this content
You have reached your maximum number of articles. Log in or create an account FREE of charge to continue reading.
By entering your email and pushing continu… [+1978 chars]",american pastor kidnapped south africa thanks god rescued american pastor josh sullivan says personal relationship jesus helped survive terrifying kidnapping ordeal calls worst experience join fox news access content reached maximum number articles log create account free charge continue reading entering email pushing continu… chars,https://www.foxnews.com/world/american-pastor-kidnapped-south-africa-thanks-god-after-being-rescued,south africa,,unknown,-28.8166236,24.991639
Mediaite,2025-04-19T17:15:54Z,"CNN Host: Trump ‘Right On The Politics’ of Wrongly Deported Abrego Garcia Despite Being ‘Wrong On The Merits’ Smerconish pointed out Americans are in favor of deportations despite Democrats and the media, and the issue is helping Trump in the polls, not hurting him.
The post CNN Host: Trump ‘Right On The Politics’ of Wrongly Deported Abrego Garcia Despite Being ‘Wron… CNN host Michael Smerconish said President Donald Trump is right “on the politics” of three issues on which he’s “wrong on the merits, including the administration’s deportation of, and refusal to br… [+4765 chars]",cnn host trump ‘right politics’ wrongly deported abrego garcia despite ‘wrong merits’ smerconish pointed americans favor deportations despite democrats media issue helping trump polls hurting post cnn host trump ‘right politics’ wrongly deported abrego garcia despite ‘wron… cnn host michael smerconish said president donald trump right “on politics” three issues he’s “wrong merits including administration’s deportation refusal br… chars,https://www.mediaite.com/politics/cnn-host-trump-right-on-the-politics-of-wrongly-deported-abrego-garcia-despite-being-wrong-on-the-merits/,,,unknown,46.3144754,11.0480288
Freerepublic.com,2025-04-19T17:13:06Z,"US judge finds Google holds illegal online ad tech monopolies Alphabet’s (GOOGL.O) Google illegally dominated two markets for online advertising technology, a federal judge said on Thursday, dealing another blow to the tech titan in an antitrust case brought by the U.S. U.S. District Judge Leonie Brinkema in Alexandria,… Skip to comments.
US judge finds Google holds illegal online ad tech monopoliesOne America News ^
 | April 17, 2025
 | Jody Godoy
Posted on 04/19/2025 10:13:06 AM PDT by Navy Patriot
Alphabets (… [+2022 chars]",us judge finds google holds illegal online ad tech monopolies alphabet’s googlo google illegally dominated two markets online advertising technology federal judge said thursday dealing another blow tech titan antitrust case brought us us district judge leonie brinkema alexandria… skip comments us judge finds google holds illegal online ad tech monopoliesone america news april jody godoy posted pdt navy patriot alphabets … chars,https://freerepublic.com/focus/f-news/4312006/posts,us,,unknown,39.7837304,-100.445882
Forbes,2025-04-19T17:11:09Z,"DRC: A Child Was Raped Every Half An Hour In January 2025, the situation in the Democratic Republic of the Congo (DRC) escalated with fighting between Government forces... Displaced community members who have fled the M23 conflict leave a Doctors Without Borders ... More discussion group on the subject of sexual violence against women on April 4, 2024 in Kishinji, Demo… [+4398 chars]",drc child raped every half hour january situation democratic republic congo drc escalated fighting government forces displaced community members fled conflict leave doctors without borders discussion group subject sexual violence women april kishinji demo… chars,https://www.forbes.com/sites/ewelinaochab/2025/04/19/drc-a-child-was-raped-every-half-an-hour/,,violence,unknown,46.3144754,11.0480288
Biztoc.com,2025-04-19T17:10:19Z,"Poker Face Season 2 Release Date, Schedule, Where To Watch Natasha Lyonne returns for Rian Johnson's crime comedy-drama TV series. Natasha Lyonne returns for Rian Johnson's crime comedy-drama TV series.
This story appeared on newsweek.com, 2025-04-19 17:00:01.",poker face season release date schedule watch natasha lyonne returns rian johnsons crime comedydrama tv series natasha lyonne returns rian johnsons crime comedydrama tv series story appeared newsweekcom,https://biztoc.com/x/6bd951e6f8954432,,,unknown,46.3144754,11.0480288
Newsweek,2025-04-19T17:00:01Z,"Poker Face Season 2 Release Date, Schedule, Where To Watch Natasha Lyonne returns for Rian Johnson's crime comedy-drama TV series. Entertainment gossip and news from Newsweek's network of contributors
We're soon getting a second serving of one of the best TV series of 2023. In this article you'll find where to watch Poker Face … [+4024 chars]",poker face season release date schedule watch natasha lyonne returns rian johnsons crime comedydrama tv series entertainment gossip news newsweeks network contributors soon getting second serving one best tv series article youll find watch poker face … chars,https://www.newsweek.com/entertainment/tv/poker-face-season-2-release-date-schedule-where-watch-2060873,,,unknown,46.3144754,11.0480288
Wattsupwiththat.com,2025-04-19T17:00:00Z,"From CO2 to Social Justice: The Guardian’s Climate Gospel Goes Full Cult As always, The Guardian isn’t content to merely spread alarmism—it needs to moralize. The piece does not present testable hypotheses or falsifiable predictions. No, it sermonizes. It's less a scientific article and more a secular encyclical. Climate policy, p… Oh Guardian, thou unerring oracle of elite anguish and latte-laced righteousness, what have you conjured this time? A new revelation from the high temple of emotional climatology: climate change is n… [+3727 chars]",co social justice guardian’s climate gospel goes full cult always guardian isn’t content merely spread alarmism—it needs moralize piece present testable hypotheses falsifiable predictions sermonizes less scientific article secular encyclical climate policy p… oh guardian thou unerring oracle elite anguish lattelaced righteousness conjured time new revelation high temple emotional climatology climate change n… chars,https://wattsupwiththat.com/2025/04/19/from-co2-to-social-justice-the-guardians-climate-gospel-goes-full-cult/,,,unknown,46.3144754,11.0480288
/FILM,2025-04-19T17:00:00Z,"Why Bones Made Angela And Hodgins A Couple, According To T.J. Thyne According to Bones star T.J. Thyne, the romance between his character Jack Hodgins and Angela Montenegro (Michaela Conlin) didn't come about accidentally. Fox's popular crime procedural ""Bones"" never hesitated to add a bit of interpersonal drama to its investigations. In fact, on many occasions, the relationships between the show's central characters f… [+1307 chars]",bones made angela hodgins couple according tj thyne according bones star tj thyne romance character jack hodgins angela montenegro michaela conlin didnt come accidentally foxs popular crime procedural bones never hesitated add bit interpersonal drama investigations fact many occasions relationships shows central characters f… chars,https://www.slashfilm.com/1831281/tj-thynes-bones-angela-hodgins-couple/,,,unknown,46.3144754,11.0480288
ABC News,2025-04-19T16:46:16Z,"Ecuador warns of potential assassination attempt against President Noboa but provides no evidence Ecuadorian authorities have warned that the Andean country is on “high alert” after they received intelligence about an suspected attempt on President Daniel Noboa’s life QUITO, Ecuador -- Ecuadorian authorities warned Saturday that the Andean country is on high alert after it received intelligence about an suspected attempt on President Daniel Noboa' s life.
Ecuador… [+1524 chars]",ecuador warns potential assassination attempt president noboa provides evidence ecuadorian authorities warned andean country “high alert” received intelligence suspected attempt president daniel noboa’s life quito ecuador ecuadorian authorities warned saturday andean country high alert received intelligence suspected attempt president daniel noboa life ecuador… chars,https://abcnews.go.com/International/wireStory/ecuador-warns-potential-assassination-attempt-president-noboa-evidence-120977002,"ecuador, quito",,unknown,-0.260621,-78.549425
