source,publishedAt,raw_text,clean_text,url,locations,crime_types
CBS News,2025-04-20T03:04:19Z,"Was an Oregon teen the mastermind behind her father's murder? After Aaron Friar and his 15-year-old daughter Ellie vanished from their Medford, Oregon, home, investigators arrived to discover a horrific scene – and soon after, evidence of a murder plot is revealed. The quiet city of Medford, Oregon was shaken by Maggie Friar's desperate 911 call in the early morning hours of Oct. 2, 2017.
MAGGIE FRIAR to 911: I don't know where my ex-husband or my oldest daugh… [+34785 chars]",oregon teen mastermind behind fathers murder aaron friar yearold daughter ellie vanished medford oregon home investigators arrived discover horrific scene – soon evidence murder plot revealed quiet city medford oregon shaken maggie friars desperate call early morning hours oct maggie friar dont know exhusband oldest daugh… chars,https://www.cbsnews.com/news/ellie-friar-aaron-friar-gavin-macfarlane-russell-jones-oregon-murder-mastermind-48-hours/,oregon,murder
Sinhalanet.net,2025-04-20T02:48:05Z,“LTTE Diaspora speaks of “Genocide” — But say Nothing of the Genocide of Tamil Child Soldiers Childhood” Has it never occurred to the international media or so-called international community or even UN/UNHRC Officials to question the silence of LTTE fronts to LTTE’s recruitment of Tamil children who were turned into child soldiers forming one third of LTTE’s … Has it never occurred to the international media or so-called international community or even UN/UNHRC Officials to question the silence of LTTE fronts to LTTEs recruitment of Tamil children who were… [+9507 chars],“ltte diaspora speaks “genocide” — say nothing genocide tamil child soldiers childhood” never occurred international media socalled international community even ununhrc officials question silence ltte fronts ltte’s recruitment tamil children turned child soldiers forming one third ltte’s … never occurred international media socalled international community even ununhrc officials question silence ltte fronts lttes recruitment tamil children were… chars,https://www.sinhalanet.net/ltte-diaspora-speaks-of-genocide-but-say-nothing-of-the-genocide-of-tamil-child-soldiers-childhood,,
fox6now.com,2025-04-20T02:44:51Z,"Milwaukee shooting near 35th and Florist, 1 wounded Milwaukee police said two people were shot and wounded on Saturday morning, April 19. Police are looking for whoever is responsible. MILWAUKEE - Milwaukee police said two people were shot and wounded on Saturday morning, April 19.
35th and Florist
What we know:
A 29-year-old victim was shot around 9:10 a.m. Police said the vict… [+899 chars]",milwaukee shooting near th florist wounded milwaukee police said two people shot wounded saturday morning april police looking whoever responsible milwaukee milwaukee police said two people shot wounded saturday morning april th florist know yearold victim shot around police said vict… chars,https://www.fox6now.com/news/milwaukee-shooting-saturday-041925,milwaukee,
Freerepublic.com,2025-04-20T02:34:25Z,"Illegal Alien and Suspected Tren de Aragua Gangster Cries Like a Baby After Arrest in Florida: ‘Life as He Knew It is Over’ Credit: Polk County Sheriff’s Office ******************************************************************** Someone find the world’s smallest violin. An illegal alien and an alleged Tren de Aragua gangster broke down like a baby being arrested in connection wit… Skip to comments.
Illegal Alien and Suspected Tren de Aragua Gangster Cries Like a Baby After Arrest in Florida: Life as He Knew It is OverGateway Pundit ^
 | April 19, 2025
 | Staff
Posted on 04… [+3400 chars]",illegal alien suspected tren de aragua gangster cries like baby arrest florida ‘life knew over’ credit polk county sheriff’s office someone find world’s smallest violin illegal alien alleged tren de aragua gangster broke like baby arrested connection wit… skip comments illegal alien suspected tren de aragua gangster cries like baby arrest florida life knew overgateway pundit april staff posted … chars,https://freerepublic.com/focus/f-chat/4312089/posts,florida,
fox6now.com,2025-04-20T02:15:02Z,"Milwaukee father shot, killed on the job; family holds vigil A vigil was held Saturday for a Milwaukee man who was shot and killed earlier this week. Family said the father of seven died on the job. MILWAUKEE - A vigil was held Saturday for a Milwaukee man who was shot and killed earlier this week. Family said he died on the job ""protecting what he loved."" 
What they're saying:
Loved ones of 3… [+1925 chars]",milwaukee father shot killed job family holds vigil vigil held saturday milwaukee man shot killed earlier week family said father seven died job milwaukee vigil held saturday milwaukee man shot killed earlier week family said died job protecting loved theyre saying loved ones … chars,https://www.fox6now.com/news/milwaukee-shooting-hopkins-courtland-vigil,milwaukee,killed
CBS News,2025-04-20T02:00:34Z,"American citizen arrested in Florida, held for pickup by ICE even after proving he was born in U.S. A U.S. citizen was arrested in Florida for allegedly being in the country illegally and held for pickup by immigration authorities even after his mother showed a judge her son's birth certificate and the judge had dismissed charges. A U.S. citizen was arrested in Florida for allegedly being in the country illegally and held for pickup by immigration authorities even after his mother showed a judge her son's birth certificate and… [+2195 chars]",american citizen arrested florida held pickup ice even proving born us us citizen arrested florida allegedly country illegally held pickup immigration authorities even mother showed judge sons birth certificate judge dismissed charges us citizen arrested florida allegedly country illegally held pickup immigration authorities even mother showed judge sons birth certificate and… chars,https://www.cbsnews.com/miami/news/american-citizen-held-by-ice-even-after-proving-he-was-born-in-u-s-florida-arrest/,florida,
Freerepublic.com,2025-04-20T01:40:36Z,"BREAKING: DEMOCRAT NEW MEXICO JUDGE RESIGNS AFTER HOMELAND SECURITY ARRESTS TREN DE ARAGUA DESIGNATED TERRORIST LIVING AT JUDGE'S HOME! BREAKING: DEMOCRAT NEW MEXICO JUDGE RESIGNS AFTER HOMELAND SECURITY ARRESTS TREN DE ARAGUA DESIGNATED TERRORIST LIVING AT JUDGE'S HOME! The Longtime Doña Ana County Judge Joel Cano, A Democrat Has Abruptly Resigned After Federal Agents Arrested Alleged Violen… Skip to comments.
BREAKING: DEMOCRAT NEW MEXICO JUDGE RESIGNS AFTER HOMELAND SECURITY ARRESTS TREN DE ARAGUA DESIGNATED TERRORIST LIVING AT JUDGE'S HOME!John Basham ^
 | 419/2025
Posted on 04/19/2… [+4088 chars]",breaking democrat new mexico judge resigns homeland security arrests tren de aragua designated terrorist living judges home breaking democrat new mexico judge resigns homeland security arrests tren de aragua designated terrorist living judges home longtime doña ana county judge joel cano democrat abruptly resigned federal agents arrested alleged violen… skip comments breaking democrat new mexico judge resigns homeland security arrests tren de aragua designated terrorist living judges homejohn basham posted … chars,https://freerepublic.com/focus/f-news/4312080/posts,new mexico,
Independent.ie,2025-04-20T01:30:00Z,"Swan Fruits wind-up ‘delayed by Irish Life’s failure to transfer pensions’, says liquidator The failure by Irish Life to transfer to a liquidator two pensions belonging to the owner of fruit-and-veg wholesaler Swan Fruits – now the subject of a garda fraud squad investigation – is holding up its liquidation, it has been claimed. The failure by Irish Life to transfer to a liquidator two pensions belonging to the owner of fruit-and-veg wholesaler Swan Fruits now the subject of a garda fraud squad investigation is holding up it… [+2523 chars]",swan fruits windup ‘delayed irish life’s failure transfer pensions’ says liquidator failure irish life transfer liquidator two pensions belonging owner fruitandveg wholesaler swan fruits – subject garda fraud squad investigation – holding liquidation claimed failure irish life transfer liquidator two pensions belonging owner fruitandveg wholesaler swan fruits subject garda fraud squad investigation holding it… chars,https://www.independent.ie/business/irish/swan-fruits-wind-up-delayed-by-irish-lifes-failure-to-transfer-pensions-says-liquidator/a1432828078.html,,fraud
Boredpanda.com,2025-04-20T01:00:46Z,"Guy’s Prank On Brother’s GF Goes Wrong, Ruins Couple’s Relationships And Breaks Brotherhood This might be the last prank he decides to pull... Pranks. You either love them or hate them. But as with many things in life, pranking has its limits. It’s safe to say that playing practical jokes should never cause physical or emotional harm to any… [+4636 chars]",guy’s prank brother’s gf goes wrong ruins couple’s relationships breaks brotherhood might last prank decides pull pranks either love hate many things life pranking limits it’s safe say playing practical jokes never cause physical emotional harm any… chars,https://www.boredpanda.com/family-wants-guy-break-up-girlfriend-responded-brothers-prank/,,
Breitbart News,2025-04-20T00:59:54Z,"NYC Police: Therapist Who Committed Tesla Hate Crime Blames Elon Musk A New York City woman accused of leaving a brick adorned with a swastika and the word ""Nazi"" on a Tesla is reportedly a family therapist who blames Elon Musk for her own actions.
The post NYC Police: Therapist Who Committed Tesla Hate Crime Blames Elon Musk a… A New York City woman accused of leaving a brick adorned with a swastika and the word “Nazi” on a Tesla is reportedly a family therapist who blames Elon Musk for her own actions.
Prosecutors said 46… [+2630 chars]",nyc police therapist committed tesla hate crime blames elon musk new york city woman accused leaving brick adorned swastika word nazi tesla reportedly family therapist blames elon musk actions post nyc police therapist committed tesla hate crime blames elon musk a… new york city woman accused leaving brick adorned swastika word “nazi” tesla reportedly family therapist blames elon musk actions prosecutors said … chars,https://www.breitbart.com/tech/2025/04/19/nyc-police-therapist-who-committed-tesla-hate-crime-blames-elon-musk/,new york city,
Freerepublic.com,2025-04-20T00:41:33Z,"The FBI Sting That Caught Chinese Spies | Traitor/Patriot In Sedalia, Missouri, Pittsburgh Corning Corporation operated a low-profile factory making a proprietary insulation material called Foamglas. But when two mysterious visitors from overseas showed up uninvited, what seemed like a minor trespassing incident esc… Skip to comments.
The FBI Sting That Caught Chinese Spies | Traitor/PatriotYoutube ^
 | April 15, 2025
 | Curiosity Stream
Posted on 04/19/2025 5:41:33 PM PDT by mbrfl
In Sedalia, Missouri, Pitt… [+2194 chars]",fbi sting caught chinese spies traitorpatriot sedalia missouri pittsburgh corning corporation operated lowprofile factory making proprietary insulation material called foamglas two mysterious visitors overseas showed uninvited seemed like minor trespassing incident esc… skip comments fbi sting caught chinese spies traitorpatriotyoutube april curiosity stream posted pm pdt mbrfl sedalia missouri pitt… chars,https://freerepublic.com/focus/f-news/4312071/posts,"pittsburgh, missouri",
Spoilertv.com,2025-04-20T00:34:00Z,Law & Order: Organized Crime - Lost Highway - Review: Rigged Operation  It is rare for a show to not only consistently meet the mark each season but somehow achieve an even higher level season after season; Law &amp; Order: Organized Crime is an outlier. It manages to ke… [+3899 chars],law order organized crime lost highway review rigged operation rare show consistently meet mark season somehow achieve even higher level season season law amp order organized crime outlier manages ke… chars,https://www.spoilertv.com/2025/04/law-order-organized-crime-lost-highway.html,,
FOX 2 Detroit,2025-04-20T00:15:28Z,"Teen stabbed during fight near Detroit park A group of teens fighting at a park turned into a stabbing, according to Detroit police. What they're saying:
DETROIT, Mich. (FOX 2) - A group of teens fighting at a park turned into a stabbing, according to Detroit police.
Police say the teens were at Whitcomb and Pickford, north of P… [+513 chars]",teen stabbed fight near detroit park group teens fighting park turned stabbing according detroit police theyre saying detroit mich fox group teens fighting park turned stabbing according detroit police police say teens whitcomb pickford north p… chars,https://www.fox2detroit.com/news/teen-stabbed-during-fight-near-detroit-park,detroit,
New York Post,2025-04-20T00:07:48Z,"Judge rules roommate of slain Idaho students can testify suspect had “bushy eyebrows” The surviving roommate of four slain Idaho University students can testify that the intruder she witnessed enter their off-campus home in a ski mask had ""bushy eyebrows,"" according to a ruling released Friday. The surviving roommate of four slain Idaho University students can testify that the intruder she witnessed enter their off-campus home in a ski mask had “bushy eyebrows,” according to a ruling releas… [+3292 chars]",judge rules roommate slain idaho students testify suspect “bushy eyebrows” surviving roommate four slain idaho university students testify intruder witnessed enter offcampus home ski mask bushy eyebrows according ruling released friday surviving roommate four slain idaho university students testify intruder witnessed enter offcampus home ski mask “bushy eyebrows” according ruling releas… chars,https://nypost.com/2025/04/19/us-news/judge-rules-roommate-of-slain-idaho-students-can-testify-suspect-had-bushy-eyebrows/,,
Screen Rant,2025-04-20T00:05:19Z,"If Kim Was Saul Goodman's Jesse, Then This Character Was The Hank Of Better Call Saul Better Call Saul has a lot in common with its predecessor, with some of the characters serving similar roles and falling into similar story beats. Better Call Saul
's close ties to Breaking Bad are presented in some commonalities between characters, such as Kim and Jesse, but BCS also had a Hank Schrader replacement. Breaking Bad is frequently… [+4925 chars]",kim saul goodmans jesse character hank better call saul better call saul lot common predecessor characters serving similar roles falling similar story beats better call saul close ties breaking bad presented commonalities characters kim jesse bcs also hank schrader replacement breaking bad frequently… chars,https://screenrant.com/better-call-saul-howard-hamlin-hank-parallel-op-ed/,,
/FILM,2025-04-20T00:00:00Z,"The Scariest Batman Villain Has Never Made It Into The Movies Characters like Joker and Bane have shaken The Dark Knight on the big screen, but the scariest Batman villain still hasn't made his way into the movies...yet. We may receive a commission on purchases made from links.
Many consider Batman the greatest superhero because he has no fantastic powers, even though he's also far from an everyman. It's not just hi… [+2638 chars]",scariest batman villain never made movies characters like joker bane shaken dark knight big screen scariest batman villain still hasnt made way moviesyet may receive commission purchases made links many consider batman greatest superhero fantastic powers even though hes also far everyman hi… chars,https://www.slashfilm.com/1834210/batman-scariest-villain-deacon-joseph-blackfire/,,
Fox News,2025-04-19T23:59:09Z,"Rap sheets, photos of suspected Tren de Aragua gang members Trump admin tried to deport before SCOTUS ruling The Trump administration released the identities of a number of suspected Tren de Aragua gang members it tried to deport before the Supreme Court blocked the move early Saturday. The Trump administration on Saturday released the rap sheets and photos of alleged Tren de Aragua (TdA) gang members detained in Texas who the administration is trying to deport.
The suspects of the… [+4564 chars]",rap sheets photos suspected tren de aragua gang members trump admin tried deport scotus ruling trump administration released identities number suspected tren de aragua gang members tried deport supreme court blocked move early saturday trump administration saturday released rap sheets photos alleged tren de aragua tda gang members detained texas administration trying deport suspects the… chars,https://www.foxnews.com/politics/rap-sheets-photos-suspected-tren-de-aragua-gang-members-trump-admin-tried-deport-before-scotus-blocked,texas,
NBC News,2025-04-19T23:57:48Z,"Progressive icon and ex-Rep. Barbara Lee wins race for mayor of struggling Oakland, California Barbara Lee represented the city in Congress for more than two decades before retiring last year after running unsuccessfully for the U.S. Senate. SAN FRANCISCO Progressive icon and former U.S. Rep. Barbara Lee declared victory Saturday as the new mayor of troubled Oakland, a San Francisco Bay Area city reeling from economic stagnation, crime a… [+2514 chars]",progressive icon exrep barbara lee wins race mayor struggling oakland california barbara lee represented city congress two decades retiring last year running unsuccessfully us senate san francisco progressive icon former us rep barbara lee declared victory saturday new mayor troubled oakland san francisco bay area city reeling economic stagnation crime a… chars,https://www.nbcnews.com/politics/elections/former-congresswoman-barbara-lee-wins-race-mayor-oakland-california-rcna202004,"san francisco, san francisco bay, california, oakland",
The Irish Times,2025-04-19T23:30:00Z,"On this Easter Sunday, can we roll back the stone of cynicism? Rite & Reason: Easter is surely the greatest story of hope reborn, second chances, and renewal. But amid political tensions, economic uncertainty, high crime rates, a housing crisis, and the daily grind, where can … [+5487 chars]",easter sunday roll back stone cynicism rite reason easter surely greatest story hope reborn second chances renewal amid political tensions economic uncertainty high crime rates housing crisis daily grind … chars,https://www.irishtimes.com/opinion/2025/04/20/on-this-easter-sunday-can-we-roll-back-the-stone-of-cynicism/,,
ABC News (AU),2025-04-19T23:15:12Z,"Man fatally stabbed in Melbourne's popular Chapel Street nightclub strip Homicide Squad detectives are investigating the death of a man in Melbourne's inner south-east this morning, along with an unrelated serious assault of a woman in the coastal town of Barwon Heads. A man is dead after a stabbing in the packed Chapel Street nightclub strip in Prahran, in Melbourne's inner south-east.
Police were called after reports of a fight on the street about 1:30am on Sund… [+1286 chars]",man fatally stabbed melbournes popular chapel street nightclub strip homicide squad detectives investigating death man melbournes inner southeast morning along unrelated serious assault woman coastal town barwon heads man dead stabbing packed chapel street nightclub strip prahran melbournes inner southeast police called reports fight street sund… chars,https://www.abc.net.au/news/2025-04-20/chapel-street-stabbing-police-investigation/105194508,,"homicide, assault"
TVLine,2025-04-19T23:00:00Z,"The Rookie Boss Previews ‘Spooky’ Documentary Episode — #Chenford ‘Lie Detector Sequel’ Included! ABC’s The Rookie has scared up another reason to subject Nolan, Harper et al to documentary cameras. The light procedural’s previous documentary-format episodes involved a former child actor turned cult leader, the murder of the director of onetime team membe… ABC‘s The Rookie has scared up another reason to subject Nolan, Harper et al to documentary cameras.
The light procedural’s previous documentary-format episodes involved a former child actor turned … [+2721 chars]",rookie boss previews ‘spooky’ documentary episode — chenford ‘lie detector sequel’ included abc’s rookie scared another reason subject nolan harper et al documentary cameras light procedural’s previous documentaryformat episodes involved former child actor turned cult leader murder director onetime team membe… abc‘s rookie scared another reason subject nolan harper et al documentary cameras light procedural’s previous documentaryformat episodes involved former child actor turned … chars,https://tvline.com/previews/the-rookie-chenford-reveals-season-7-documentary-episode-1235437739/,,murder
7NEWS.com.au,2025-04-19T23:00:00Z,"Woman fighting for life and man under police guard after late-night argument Woman fighting for life and man under police guard after late-night argument7news.com.au A woman is fighting for life and a man is under police guard in hospital after a late-night altercation in Victorias Bellarine Peninsula.
Emergency services were called to Bridge Road, at Barwon Hea… [+648 chars]",woman fighting life man police guard latenight argument woman fighting life man police guard latenight argumentnewscomau woman fighting life man police guard hospital latenight altercation victorias bellarine peninsula emergency services called bridge road barwon hea… chars,https://7news.com.au/news/barwon-heads-woman-fighting-for-life-and-man-under-police-guard-after-late-night-argument-c-18428952,,
BBC News,2025-04-19T22:58:31Z,"Police algorithm said Lina was at 'medium' risk. Then she was killed Spanish police use an algorithm to assess the risk of repeat domestic violence.  Does it work? Linda Pressly and Esperanza Escribano
Lina died at her home on 9th February, 2025
In January, Lina went to the police.
Her ex-partner had been threatening her at home in the Spanish seaside town o… [+8590 chars]",police algorithm said lina medium risk killed spanish police use algorithm assess risk repeat domestic violence work linda pressly esperanza escribano lina died home th february january lina went police expartner threatening home spanish seaside town o… chars,https://www.bbc.com/news/articles/clyw7g4zxwzo,,killed
ABC News (AU),2025-04-19T22:51:05Z,"Concerns remain over country intersection where crash claimed five lives Two years ago this intersection claimed the lives of five people in one of Victoria's deadliest crashes. Residents say not enough is being done to prevent the next tragedy. Carolyn Ryan and Glenn Kelly stand at the Labuan Road-Murray Valley Highway intersection in Strathmerton with anger and concern etched on their faces.
Two years ago, the intersection in northern Vic… [+2934 chars]",concerns remain country intersection crash claimed five lives two years ago intersection claimed lives five people one victorias deadliest crashes residents say enough done prevent next tragedy carolyn ryan glenn kelly stand labuan roadmurray valley highway intersection strathmerton anger concern etched faces two years ago intersection northern vic… chars,https://www.abc.net.au/news/2025-04-20/strathmerton-crash-concerns-anniversary-investigation/105184698,,
Fox News,2025-04-19T22:42:54Z,"Another state confirms measles case with infected child its first of year Virginia recently announced that its first case of the measles this year involved a child who had traveled out of the country prior to being diagnosed. The Virginia Department of Health (VDH) recently reported the state's first measles case of the year, identifying the patient as a child under 4 years old who recently traveled internationally. 
Whi… [+3352 chars]",another state confirms measles case infected child first year virginia recently announced first case measles year involved child traveled country prior diagnosed virginia department health vdh recently reported states first measles case year identifying patient child years old recently traveled internationally whi… chars,https://www.foxnews.com/health/another-state-confirms-measles-case-infected-child-first-year,virginia,
Wnd.com,2025-04-19T22:40:53Z,"End U.S. taxpayer support for the higher ed gravy train 'Federal government grants and other forms of subsidizations of universities are legion' One of the most important insights of public policy is the understanding that most laws are predicated upon a (stated or unstated) quid pro quo.
Take, for example, the roiling monthslong debate abou… [+5517 chars]",end us taxpayer support higher ed gravy train federal government grants forms subsidizations universities legion one important insights public policy understanding laws predicated upon stated unstated quid pro quo take example roiling monthslong debate abou… chars,https://www.wnd.com/2025/04/end-u-s-taxpayer-support-for-the-higher-ed-gravy-train/,"us, monthslong",
TMZ,2025-04-19T21:47:16Z,"Lil Durk Files to Dismiss Superseding Indictment in Murder-For-Hire Case Lil Durk wants the indictment against him dismissed ... arguing prosecutors pointed to a version of a song where Durk allegedly celebrated having Saviay'a Robinson -- Quando Rondo's cousin -- killed, but Durk claims he wasn't involved in decisions over the so… Lil Durk wants the indictment against him dismissed ... arguing prosecutors pointed to a version of a song where Durk allegedly celebrated having Saviay'a Robinson -- Quando Rondo's cousin -- killed,… [+1586 chars]",lil durk files dismiss superseding indictment murderforhire case lil durk wants indictment dismissed arguing prosecutors pointed version song durk allegedly celebrated saviaya robinson quando rondos cousin killed durk claims wasnt involved decisions so… lil durk wants indictment dismissed arguing prosecutors pointed version song durk allegedly celebrated saviaya robinson quando rondos cousin killed… chars,https://www.tmz.com/2025/04/19/lil-durk-files-dismiss-indictment-murder-for-hire-plot/,,killed
ComicBook.com,2025-04-19T21:38:19Z,"Sorry, Daredevil: Born Again, But This Is Still the MCU’s Best Disney+ Show Daredevil: Born Again represents another successful Disney+ show for the Marvel Cinematic Universe, but it still doesn’t dethrone the franchise’s best series to date. Season 1 of the revival of Netflix’s Daredevil series sees Matt Murdock/Daredevil (Charlie C… Daredevil: Born Again represents another successful Disney+ show for the Marvel Cinematic Universe, but it still doesn’t dethrone the franchise’s best series to date. Season 1 of the revival of Netfl… [+4379 chars]",sorry daredevil born still mcu’s best disney show daredevil born represents another successful disney show marvel cinematic universe still doesn’t dethrone franchise’s best series date season revival netflix’s daredevil series sees matt murdockdaredevil charlie c… daredevil born represents another successful disney show marvel cinematic universe still doesn’t dethrone franchise’s best series date season revival netfl… chars,http://comicbook.com/tv-shows/news/daredevil-born-again-wandavision-better-comparison/,netflix,
ABC News,2025-04-19T21:32:09Z,"WATCH: Bison scratches itch on signpost in Yellowstone A bison was spotted enjoying a satisfying scratch against a signpost in the snowy landscape of Yellowstone National Park. <ul><li>Putin declares temporary 'Easter truce' in Ukraine
</li><li>Senator says El Salvador officials planted drinks at table
</li><li>Latest on FSU shooting
</li><li>SCOTUS halts deportations of… [+4379 chars]",watch bison scratches itch signpost yellowstone bison spotted enjoying satisfying scratch signpost snowy landscape yellowstone national park ulliputin declares temporary easter truce ukraine lilisenator says el salvador officials planted drinks table lililatest fsu shooting liliscotus halts deportations of… chars,https://abcnews.go.com/US/video/bison-scratches-itch-signpost-yellowstone-120980504,"el salvador, yellowstone",
ABC News,2025-04-19T21:26:46Z,"WATCH: Octopus 'hugs' diver's camera during underwater encounter A diver filmed an affectionate encounter with a Maori octopus that was seen gently embracing her camera near a pier in Rye, Australia. <ul><li>Putin declares temporary 'Easter truce' in Ukraine
</li><li>Senator says El Salvador officials planted drinks at table
</li><li>Latest on FSU shooting
</li><li>SCOTUS halts deportations of… [+4379 chars]",watch octopus hugs divers camera underwater encounter diver filmed affectionate encounter maori octopus seen gently embracing camera near pier rye australia ulliputin declares temporary easter truce ukraine lilisenator says el salvador officials planted drinks table lililatest fsu shooting liliscotus halts deportations of… chars,https://abcnews.go.com/International/video/octopus-hugs-divers-camera-underwater-encounter-120980408,el salvador,
Breitbart News,2025-04-19T21:25:25Z,"California Woman Accused of Shoving 7-Months-Pregnant Street Vendor to the Ground A 56-year-old Simi Valley woman’s legal troubles worsened this week after she was caught on video confronting a seven-months pregnant street vendor and pushing her cart towards her in an incident that culminated with the peddler ending up on the pavement.
The… A 56-year-old Simi Valley womans legal troubles worsened this week after she was caught on video confronting a seven-months pregnant street vendor and pushing her cart towards her in an incident that… [+2506 chars]",california woman accused shoving monthspregnant street vendor ground yearold simi valley woman’s legal troubles worsened week caught video confronting sevenmonths pregnant street vendor pushing cart towards incident culminated peddler ending pavement the… yearold simi valley womans legal troubles worsened week caught video confronting sevenmonths pregnant street vendor pushing cart towards incident that… chars,https://www.breitbart.com/pre-viral/2025/04/19/29837928socal-woman-booked-and-sued-for-street-vendor-confrontation/,california,
